"blk4Cor1Acc","blk4Cor2Acc","blk4Resolution","blk4Resolution2","blk4Resolution2Adv1","blk4Resolution2Adv2","blk4AverageCj1","adv1Agreed","adv2Agreed","agreedDiff","res2Diff","blk4MeanAdvisor1Sway","blk4MeanAdvisor2Sway","swayDiff","blk4AdviceSway","blk4AdviceSway1Diff","blk4AdviceSway2Diff",
0.85,0.85,12.5752,14.5033,9.75,18.4,28.8,0.56667,0.66667,0.1,8.65,3.7333,2.9,-0.83333,3.6833,-0.56667,0.033333,
0.65,0.73333,8.707,11.6484,9.2,14.3062,14.85,0.43333,0.6,0.16667,5.1062,4.4333,2.4,-2.0333,4.4833,0.26667,-0.26667,
0.73333,0.75,1.5398,6.267,9.8571,2.9193,16.0667,0.53333,0.6,0.066667,-6.9379,5.0667,2.3,-2.7667,8.1167,-0.66667,1.0667,
0.58333,0.73333,4.7029,14.6914,18.6,8.75,20.5833,0.46667,0.63333,0.16667,-9.85,15.5667,16.9667,1.4,19.4667,1.3333,-0.8,
0.68333,0.73333,6.706,5.9743,3.6944,9.3727,27.2667,0.56667,0.6,0.033333,5.6782,5,0.53333,-4.4667,7.7667,-1.0333,-0.26667,
0.71667,0.8,6.6224,4.1081,8.24,2.1667,17.2167,0.53333,0.56667,0.033333,-6.0733,4.5667,7.7,3.1333,8.5667,-0.46667,0.33333,
0.73333,0.68333,6.4545,8.2102,13.5,2.625,26.4833,0.5,0.56667,0.066667,-10.875,8.6333,7.4667,-1.1667,8.6833,-0.066667,0.23333,
0.61667,0.68333,7.2573,9.6804,7,12.3982,22.8667,0.43333,0.6,0.16667,5.3982,8.2333,6.9,-1.3333,11.3667,0.1,-0.16667,
0.73333,0.73333,1.4205,1.3295,2.4286,0.7764,15.4167,0.73333,0.6,-0.13333,-1.6522,7.1667,2.8,-4.3667,7.0167,-1.0667,0.033333,
0.73333,0.8,9.5,7.8807,7.24,10.4354,24.4667,0.66667,0.6,-0.066667,3.1954,7.3,9.7667,2.4667,15.3,-0.066667,-1.3667,
0.66667,0.65,4.675,9.475,10.5714,8.7943,15.2667,0.6,0.66667,0.066667,-1.7772,6.0667,5.9333,-0.13333,7.4,0.23333,-0.26667,
0.81667,0.86667,7.0649,10.0575,10.963,11.1932,33.1333,0.66667,0.56667,-0.1,0.23022,1.3667,2.6,1.2333,7.7167,-1,0.033333,
0.73333,0.71667,4.2784,9.1875,8.875,10.5,15.2,0.63333,0.63333,0,1.625,7.3667,7.5667,0.2,8.5333,0.033333,0.23333,
0.81667,0.7,0.37662,3.0649,2.3333,0.57955,7.2167,0.66667,0.63333,-0.033333,-1.7538,7.5667,14.6667,7.1,13.3833,0.066667,0.13333,
0.76667,0.68333,0.54037,0.10559,0.92593,1.3062,24.8,0.6,0.46667,-0.13333,0.38029,3.4,3.5333,0.13333,5.0667,-0.46667,-1.1,
0.56667,0.55,3.0136,1.871,0.095023,3.6471,36.1,0.6,0.6,0,3.552,2.7,0.53333,-2.1667,3.15,-0.033333,-3.0667,
0.65,0.73333,3.7912,6.4432,8.9444,2.3492,10.0833,0.56667,0.66667,0.1,-6.5952,4.1333,10.8667,6.7333,9.6333,-0.7,0.33333,
0.73333,0.71667,2,2.7273,5.25,2.35,14.4667,0.63333,0.83333,0.2,-2.9,4,6.8333,2.8333,6.8167,-0.1,-0.33333,
